Nome Empresa,Valor total de levantamento em Sistema S,Valor já utilizado em compensação,Possui crédito,Email
AlphaTech Ltda,482345.67,321456.78,Sim,alphatech@empresa.com
BetaSolutions SA,153234.89,153234.89,Não,betasolutions@empresa.com
GammaCorp,298765.45,123456.78,Sim,gammacorp@empresa.com
DeltaIndustries,412345.12,398765.34,Sim,deltaindustries@empresa.com
EpsilonGroup,276543.98,276543.98,Não,epsilongroup@empresa.com
ZetaSystems,365432.21,198765.43,Sim,zetasystems@empresa.com
ThetaConsulting,189765.43,98765.43,Sim,thetaconsulting@empresa.com
IotaEnterprises,325678.90,325678.90,Não,iotaenterprises@empresa.com
KappaTech,478901.23,278901.23,Sim,kappatech@empresa.com
LambdaServices,234567.89,123456.78,Sim,lambdaservices@empresa.com
